Symbol,Current_Price,Buy_Signal_Strength,Sell_Signal_Strength,RSI,Z_Score,BB_Position,Volume_Ratio,Price_Change_5d,Price_Change_20d,Price_vs_SMA50,Price_vs_SMA200
CHTR,375.2300109863281,0.48333333333333334,0.0,26.566585485665698,-2.139273080225006,-0.03481827005625109,1.1889788936025656,-4.899124769838092,-12.175538680789199,-1.6558311962627026,3.5645669905393973
LULU,241.2899932861328,0.45,0.0,17.77561293296776,-1.5879831577755108,0.10300421055612229,0.9985733100713893,-6.852229259292553,-24.934671648368845,-14.889971883764119,-24.497437854201742
ADP,307.9100036621094,0.4166666666666667,0.0,16.77588745809443,-1.7939729363830281,0.051506765904243815,1.0478451129519288,-2.8632612182032946,-3.106581468740388,0.6527644662174037,4.353241449294765
ORLY,88.12000274658203,0.39999999999999997,0.0,39.482351223873515,-2.7403063414606237,-0.18507658536515653,1.115011107408126,-1.9508945678384793,-4.332464268376491,-3.4685844128847343,3.8857490677265627
TMUS,230.99000549316406,0.3666666666666667,0.0,34.13952778171462,-1.5131170852599232,0.12172072868501957,0.930718413211087,-2.924980686842382,-4.457853947288282,-5.67490593063027,-1.1375930076994556
CPRT,48.38999938964844,0.3333333333333333,0.06666666666666667,11.208397412686168,-0.9691867629589807,0.25770330926025475,1.510422393034534,-3.5094757381457953,-24.201128956784867,-15.539126269972602,-13.874270788884079
MAR,257.9100036621094,0.3333333333333333,0.06666666666666667,39.024395231376396,-1.2936360736908321,0.17659098157729256,1.5088381859779985,-3.015827185559228,-5.363771655474292,3.7075555253375025,-1.2686742496917036
ADBE,401.7300109863281,0.3166666666666667,0.06666666666666667,41.374609906748034,-1.5844266212042604,0.10389334469893488,1.9757359640442385,-3.490606457122314,-3.6918931067571603,4.030878711481067,-11.12663373050722
KHC,25.790000915527344,0.3166666666666667,0.0,37.86502782964756,-1.6865878569431005,0.07835303576422403,1.1177367599234924,-2.6057350401702872,-5.632557780515768,-6.65941530793962,-14.407062339348986
COST,984.3599853515625,0.3166666666666667,0.0,38.99967423818531,-1.6574775175056924,0.08563062062357746,0.9958265270473151,-2.1685988076737384,-4.042577471866515,-1.2283777350046932,3.1424205500163893
CDW,172.35000610351562,0.3,0.03333333333333333,30.239467481189266,-1.4763066812602543,0.13092332968493603,1.3821689723089015,-2.86309349149797,-8.512181387922679,1.8966481887965125,-7.17325069695084
ISRG,519.0399780273438,0.2833333333333333,0.0,29.827684611772597,-1.459033553492376,0.135241611626906,0.9239055842424871,-1.351334421135253,-7.906316445856421,-1.0148005061874188,-1.5044130522132715
LCID,2.1500000953674316,0.23333333333333336,0.0,21.839083924698116,-0.8421191907022509,0.2894702023244372,0.9526645848628646,-3.587440494251337,-24.295769001940336,-11.668032617048507,-20.50947528176954
MRNA,26.0,0.2333333333333333,0.0,45.86956345967377,-1.3078517045622935,0.17303707385942638,0.8225715337853862,-7.60483097393263,4.585677239178132,-1.037205916823214,-36.69136914507941
DXCM,83.0,0.2333333333333333,0.08333333333333333,41.80154563621389,-1.4311306455926192,0.1422173386018448,1.2939027526690359,-3.127918178840028,-2.901267266658847,6.16607419868147,8.263999784325371
