Symbol,Current_Price,Buy_Signal_Strength,Sell_Signal_Strength,RSI,Z_Score,BB_Position,Volume_Ratio,Price_Change_5d,Price_Change_20d,Price_vs_SMA50,Price_vs_SMA200
FANG,154.91000366210938,0.09999999999999999,0.75,75.29880268181765,2.689608865823566,1.1724022164558907,2.2759593001016403,10.209167866222879,9.129980269455483,13.855122393677322,-3.281053184636762
ORCL,215.22000122070312,0.09999999999999999,0.7333333333333334,95.27740075839199,3.0758056120757735,1.2689514030189435,3.999078803995427,23.67543726969221,35.01882651292239,41.378570956842275,31.883231924423015
KLAC,867.6699829101562,0.06666666666666667,0.48333333333333334,79.15259302771959,1.7541613312250564,0.9385403328062638,1.5387199449077458,7.384898875019341,7.910509586800041,19.218495000619164,22.314360744787255
MU,115.5999984741211,0.0,0.45,89.04108671300936,1.6005993547520543,0.9001498386880137,0.9556216006130699,6.484894135823471,21.110531346381567,32.04848631716253,21.538746342356085
SBUX,93.26000213623047,0.0,0.4333333333333333,70.62382699895008,1.5488330444215261,0.8872082611053815,0.7650564035575768,4.038378816633581,7.6283906450681505,10.058411479845253,-1.4306524812384036
PFE,24.540000915527344,0.03333333333333333,0.4333333333333333,67.42860786286258,1.7236875112687766,0.9309218778171937,1.2108445700687662,5.096361946965899,8.58407301465476,7.212077600749511,-2.9381592924714095
BKR,39.040000915527344,0.03333333333333333,0.4166666666666667,70.17542920357832,1.731300126969417,0.9328250317423543,1.2795299545707364,3.007913835755449,3.472041847826035,4.938088467611568,-2.0690921906999726
NEE,74.77999877929688,0.0,0.4166666666666667,81.85981223716963,1.4367877077640394,0.8591969269410096,1.0061537770362803,3.6308134482027965,1.1201603798705273,8.985742824287502,2.742474738014389
CSGP,81.16000366210938,0.0,0.3833333333333333,79.21759919913198,1.4475364581571553,0.8618841145392891,0.922894831103705,3.3622097961157893,6.71926417527402,5.005491173715226,6.281982131985142
AMGN,295.2200012207031,0.0,0.3666666666666667,80.31395578954644,1.3152754216187428,0.8288188554046862,0.8566150959254879,1.6842954137017196,9.620884444318545,5.079454662712579,1.0351923539828833
DIS,117.94000244140625,0.03333333333333333,0.36666666666666664,76.7230123895772,1.467057930855512,0.8667644827138777,1.426910254124182,3.5469717834985426,5.0971316685816115,16.78314877633631,14.637195274118575
PLTR,137.39999389648438,0.0,0.35000000000000003,65.35192984346186,1.669046004144434,0.9172615010361085,1.095154711140994,7.579073428799932,7.243208814368707,20.41561294127043,75.02637690330698
LRCX,89.5199966430664,0.0,0.3333333333333333,71.60364760969968,1.2939985800343805,0.823499645008595,1.1409739154293697,3.6711039084677655,5.57848293014096,16.946835685926654,16.447822341171857
ON,51.02000045776367,0.0,0.2833333333333334,72.02892275211221,1.0081622061222184,0.7520405515305546,0.9150757856803418,1.694244209369944,14.600179544397317,22.51406073401978,-9.797538612965406
MSFT,474.9599914550781,0.0,0.2833333333333333,78.8676503107573,1.4608680082270555,0.8652170020567643,0.9146293680111278,0.9736779890137326,4.817598997424866,11.675371051701312,13.593528617316352
